target,effect,condition_scope,category_id,trust_level,evidence_source_type,evidence_summary,source1_title,source1_url,source1_publisher,source1_type,source2_title,source2_url,source2_publisher,source2_type
밀크씨슬(실리마린),만성 간질환 환자의 간 기능 개선,만성 B형·C형간염 또는 알코올성 간질환 환자 대상,1,PENDING,메타분석(Cochrane),"코크란 체계적 문헌고찰(Rambaldi 등, 2007, RCT 18건, 1088명)은 밀크씨슬(실리마린)이 알코올성 및/또는 바이러스성 간질환 환자의 사망률이나 간 관련 합병증을 유의하게 줄인다는 근거를 찾지 못했다고 결론지었다. 다만 위약군 대비 이상반응 발생률에 유의한 차이가 없어 안전성 자체는 양호하다고 평가됐다. 저자들은 기존 연구 다수의 방법론적 질이 낮다며 대규모 고품질 RCT가 추가로 필요하다고 명시했다.",Milk thistle for alcoholic and/or hepatitis B or C virus liver diseases,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003620.pub3/references,Cochrane Database of Systematic Reviews,META_ANALYSIS,,,,
루테인·지아잔틴,노인성 황반변성(AMD) 진행 억제,"중기 AMD가 있는 50~85세 성인, 루테인 10mg+지아잔틴 2mg을 매일 섭취 시",1,EXPERT_OPINION,대규모 RCT(AREDS2) 및 2차분석,"미국 국립안연구소(NEI) 주도의 AREDS2 무작위대조군연구(4203명)는 기존 AREDS 항산화제 조합에 루테인+지아잔틴을 추가해도 전체적으로 진행성 AMD 위험을 추가로 낮추지는 못했다고 결론지었다. 다만 2차분석에서는 식이 루테인·지아잔틴 섭취가 낮았던 사람들, 그리고 베타카로틴 대신 루테인·지아잔틴을 넣은 조합에서 진행 위험이 낮아지는 경향이 관찰됐다. 즉 '단독으로 AMD를 예방한다'기보다 흡연자에서 폐암 위험 논란이 있는 베타카로틴을 대체할 수 있는 안전한 항산화제 조합 성분이라는 근거가 더 정확하다.",About AREDS and AREDS2 — Age-Related Eye Disease Studies,https://www.nei.nih.gov/eye-health-information/clinical-trials/age-related-eye-disease-studies-aredsareds2/about-areds-and-areds2,National Eye Institute (NIH),OFFICIAL,Secondary analyses of the effects of lutein/zeaxanthin on age-related macular degeneration progression: AREDS2 report No. 3,https://pubmed.ncbi.nlm.nih.gov/24310343/,JAMA Ophthalmology (PubMed),RCT
철분,철결핍성 빈혈 개선,"철결핍성 빈혈로 진단된 경우, 경구 철분제를 혈색소 정상화까지(보통 6~12주) 복용 시",1,CLINICAL_EVIDENCE,국제 전문가 임상 권고안,"유럽혈액학회(EHA) 적혈구·철분 특별작업반이 2024년 HemaSphere에 발표한 권고안은 경구 철분 치료가 순응도만 유지되면 철결핍성 빈혈 교정에 효과적이며, 혈색소가 정상화될 때까지 보통 6~12주가 걸린다고 명시한다. 다만 변비·구역 등 위장관 부작용에 따른 복약순응도 저하가 치료 실패의 주요 원인으로 지적되며, 최근에는 격일 복용이나 저용량(60~80mg) 요법이 부작용을 줄이면서도 흡수율은 비슷하거나 더 나은 것으로 보고된다.","Recommendations for diagnosis, treatment, and prevention of iron deficiency and iron deficiency anemia",https://pmc.ncbi.nlm.nih.gov/articles/PMC11247274/,HemaSphere (European Hematology Association),REVIEW,,,,
비오틴,결핍이 없는 성인의 탈모·손톱 개선,생물학적 비오틴 결핍이 확인되지 않은 일반 성인,1,NO_EVIDENCE,체계적 문헌고찰,"2024년 체계적 문헌고찰(Cosmetics, MDPI)은 비오틴 결핍이 확인되지 않은 탈모 환자에서 비오틴 보충이 모발 성장에 도움이 된다는 근거가 없다고 결론지었다. 피부과 학술지(JCAD) 리뷰도 건강한 사람을 대상으로 비오틴이 모발 성장에 유익함을 보여준 연구가 없다고 명시하며, 손톱에 대한 효과 역시 소수의 저품질 소규모 연구에 근거해 신뢰하기 어렵다고 평가한다. 오히려 고용량 비오틴은 갑상선·심장 관련 혈액검사 수치를 교란시켜 오진을 유발할 수 있다는 안전성 우려도 제기된다.",Effectiveness of Biotin Supplementation for Hair Growth in Patients with Alopecia: A Systematic Review,https://www.mdpi.com/2673-6179/6/2/17,Cosmetics (MDPI),SYSTEMATIC_REVIEW,Biotin for Hair Loss: Teasing Out the Evidence,https://jcadonline.com/biotin-for-hair-loss-evidence/,The Journal of Clinical and Aesthetic Dermatology,REVIEW
크레아틴,저항운동 병행 시 근력 및 제지방량 증가,저항성 운동을 병행하며 하루 3~5g(또는 로딩 후 유지용량)을 8주 이상 섭취 시,1,CLINICAL_EVIDENCE,국제스포츠영양학회 포지션 스탠드 및 메타분석,"국제스포츠영양학회(ISSN)는 2017년 포지션 스탠드에서 크레아틴 일수화물을 가장 효과적인 운동수행능력 보충제 중 하나로 평가하며, 근력·근비대 향상에 대한 근거가 충분하다고 명시했다. 2025년 발표된 메타분석 역시 저항운동과 병행했을 때 상하체 근력과 근파워가 유의하게 증가함을 확인했지만, 운동 없이 크레아틴만 섭취할 경우에는 유의한 효과가 없어 '훈련 증폭제'로서의 성격이 강조된다.","International Society of Sports Nutrition position stand: safety and efficacy of creatine supplementation in exercise, sport, and medicine",https://link.springer.com/article/10.1186/s12970-017-0173-z,Journal of the International Society of Sports Nutrition,REVIEW,The Effects of Creatine Supplementation on Upper- and Lower-Body Strength and Power: A Systematic Review and Meta-Analysis,https://www.mdpi.com/2072-6643/17/17/2748,Nutrients (MDPI),META_ANALYSIS
엽산,임신 초기 태아 신경관결손 예방,임신 계획 최소 1개월 전부터 임신 12주까지 하루 400㎍ 섭취 시,1,CLINICAL_EVIDENCE,공중보건 공식 권고 및 역학연구,"미국 질병통제예방센터(CDC)는 가임기 여성이 임신 전후로 하루 400㎍의 엽산을 섭취하면 척추이분증·무뇌증 등 신경관결손을 50% 이상 예방할 수 있다고 명시한다. 이는 다수의 무작위대조군연구와 국가 단위 엽산 강화 정책 이후의 역학연구로 뒷받침되는, 영양보충제 중 손꼽히게 근거가 확실한 권고 중 하나다. 다만 신경관이 형성되는 임신 초기(수정 후 약 3~4주) 이전부터 충분한 엽산 농도가 확보되어야 효과가 있다는 시점 조건이 중요하다.",About Folic Acid,https://www.cdc.gov/folic-acid/about/index.html,Centers for Disease Control and Prevention (CDC),OFFICIAL,Folic Acid Supplementation to Prevent Neural Tube Defects: US Preventive Services Task Force Reaffirmation Recommendation Statement,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/folic-acid-for-the-prevention-of-neural-tube-defects-preventive-medication,US Preventive Services Task Force,OFFICIAL
셀레늄,전립선암 등 암 예방,"특별한 결핍이 없는 건강한 성인 남성, 하루 200㎍씩 장기 섭취 시",1,COUNTER_EVIDENCE,대규모 RCT (SELECT trial),"북미 3만5533명의 건강한 남성을 대상으로 한 대규모 무작위대조군연구 SELECT(JAMA, 2009)는 셀레늄(200㎍/일) 단독 보충이 위약 대비 전립선암 발생률을 낮추지 못했다고(위험비 1.04, 통계적으로 유의하지 않음) 보고했으며, 유의미한 예방 효과가 없어 시험이 조기 중단됐다. 후속 분석에서는 셀레늄이 일부 집단에서 제2형 당뇨병이나 고위험 전립선암 위험을 오히려 높일 수 있다는 우려도 제기되어, '항산화제라서 암을 예방한다'는 통념과 달리 결핍이 없는 사람에게는 이득보다 잠재적 위해가 부각된 사례로 꼽힌다.",Effect of Selenium and Vitamin E on Risk of Prostate Cancer and Other Cancers: The Selenium and Vitamin E Cancer Prevention Trial (SELECT),https://jamanetwork.com/journals/jama/fullarticle/183163,JAMA,RCT,Selenium and Prostate Cancer Prevention: Insights from the Selenium and Vitamin E Cancer Prevention Trial (SELECT),https://pmc.ncbi.nlm.nih.gov/articles/PMC3705339/,Current Oncology Reports (PMC),REVIEW
MSM(식이유황),무릎 골관절염 통증 완화,"경도~중등도 무릎 골관절염 환자, 하루 3g 안팎을 12주가량 섭취 시",1,EXPERT_OPINION,소규모 RCT 및 메타분석,"MSM과 DMSO를 함께 분석한 메타분석(RCT 3건, 326명)에서는 시각통증척도(VAS) 기준 통증 감소가 위약 대비 평균 6.34mm에 그쳐 통계적으로 유의하지 않았다. 반면 개별 소규모 RCT(예: 49명 대상 12주 연구)에서는 WOMAC 골관절염 지수 등에서 위약보다 유의한 개선이 보고되기도 했다. 전반적으로 연구 수가 적고 표본크기가 작아 효과가 있다는 신호는 있으나 확정적 결론을 내리기엔 근거 수준이 낮다는 평가가 지배적이다.",Meta-Analysis of the Related Nutritional Supplements Dimethyl Sulfoxide and Methylsulfonylmethane in the Treatment of Osteoarthritis of the Knee,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3135791/,Evidence-Based Complementary and Alternative Medicine (PMC),META_ANALYSIS,Efficacy of methylsulfonylmethane supplementation on osteoarthritis of the knee: a randomized controlled study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3141601/,BMC Complementary Medicine and Therapies,RCT
경구 히알루론산,피부 보습·주름 개선,하루 60~120mg을 8~12주 섭취 시,1,EXPERT_OPINION,메타분석 및 RCT(제조사 후원 연구 다수),"2025년 발표된 RCT 7건을 종합한 메타분석은 경구 히알루론산 섭취가 피부 수분도와 탄력을 통계적으로 유의하게 개선하고 주름 깊이를 줄인다고 보고했다. 개별 RCT들(120mg/일, 12주 등)도 대체로 유사한 방향의 개선을 보였으나, 피부 탄력이나 경피수분손실 등 일부 지표는 유의성에 미치지 못했다. 대부분의 연구가 표본이 40~150명 수준으로 크지 않고 보충제 제조사가 연구비를 지원한 경우가 많아 독립적인 대규모 검증이 더 필요하다는 한계가 있다.","Oral Hyaluronic Acid Supplement: Efficacy in Skin Hydration, Elasticity, and Wrinkle Depth Reduction",https://jddonline.com/oral-hyaluronic-acid-supplement-efficacy-in-skin-hydration-elasticity-and-wrinkle-depth-reduction/,Journal of Drugs in Dermatology,META_ANALYSIS,"Oral Hyaluronan Relieves Wrinkles and Improves Dry Skin: A 12-Week Double-Blinded, Placebo-Controlled Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8308347/,Nutrients (PMC),RCT
프로바이오틱스,항생제 관련 설사 예방,항생제 복용과 동시에 시작해 항생제 복용 기간 동안 함께 섭취 시,1,CLINICAL_EVIDENCE,대규모 메타분석,"42건의 연구, 총 1만1305명을 포함한 체계적 문헌고찰 및 메타분석은 항생제와 함께 프로바이오틱스를 복용하면 성인의 항생제 관련 설사 위험이 위약 대비 약 37% 감소한다고 보고했다(위험비 0.63). 미국가정의학회(AAFP) 저널 요약본도 이 결과를 인용하며 치료 필요 환자수(NNT)가 약 20명 수준이라고 밝혔다. 다만 균주·용량·항생제 종류에 따라 결과가 달라질 수 있어 GRADE 기준 근거의 질은 '중등도'로 평가된다.",Probiotics for the Prevention of Antibiotic-Associated Diarrhea in Outpatients—A Systematic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5745464/,Mayo Clinic Proceedings (PMC),META_ANALYSIS,Probiotics for Preventing Antibiotic-Associated Diarrhea,https://www.aafp.org/pubs/afp/issues/2021/1200/od1.html,American Family Physician (AAFP),REVIEW
가르시니아 캄보지아(HCA),체중 감량,"과체중·비만 성인, 하루 1~3g 하이드록시시트르산(HCA) 섭취 시",1,NO_EVIDENCE,메타분석,"2011년 발표된 무작위대조군연구 메타분석(Journal of Obesity, RCT 12건 중 9건 통합)은 가르시니아 캄보지아(HCA)가 위약 대비 평균 0.88kg의 체중 감소를 보였다고 밝혔지만, 저자들 스스로 이는 통계적으로는 유의해도 임상적으로 의미 있는 수준은 아니라고 평가했다. 2020년 발표된 용량-반응 메타분석도 비만 지표 개선 효과가 미미하다고 결론지었으며, 일부 연구에서는 위약군보다 위장관 부작용이 2배 많이 보고되기도 했다. 즉 '체중감량에 효과적'이라는 광고성 문구를 뒷받침할 임상적으로 의미 있는 근거는 없다고 보는 것이 정확하다.",The Use of Garcinia Extract (Hydroxycitric Acid) as a Weight loss Supplement: A Systematic Review and Meta-Analysis of Randomised Clinical Trials,https://onlinelibrary.wiley.com/doi/10.1155/2011/509038,Journal of Obesity,META_ANALYSIS,Effect of Garcinia cambogia supplement on obesity indices: A systematic review and dose-response meta-analysis,https://www.sciencedirect.com/science/article/abs/pii/S0965229920303393,Phytomedicine (ScienceDirect),META_ANALYSIS
간헐적 단식(16:8),체지방 감소 및 체중 감량,과체중·비만 성인 대상,2,CLINICAL_EVIDENCE,메타분석(RCT) 및 우산리뷰,"2025년 Nutrition Journal에 실린 체계적 문헌고찰·메타분석은 과체중·비만 성인 대상 무작위대조시험들을 종합해 간헐적 단식이 체중, 체지방량 등 체성분 지표를 유의하게 개선한다고 보고했다. 2024년 eClinicalMedicine(Lancet 계열)에 실린 우산리뷰도 다수의 체계적 문헌고찰을 종합해 대체로 일관된 체중 감량 효과를 확인했다. 다만 효과 크기는 일반적인 저칼로리 식단과 비슷한 수준이며, 중성지방 등 일부 대사지표는 연구마다 결과가 엇갈려 장기적 우월성은 아직 명확하지 않다.",The impact of intermittent fasting on body composition and cardiometabolic outcomes in overweight and obese adults: a systematic review and meta-analysis of randomized controlled trials,https://pmc.ncbi.nlm.nih.gov/articles/PMC12309044/,Nutrition Journal (Springer Nature),META_ANALYSIS,Intermittent fasting and health outcomes: an umbrella review of systematic reviews and meta-analyses of randomised controlled trials,https://www.thelancet.com/journals/eclinm/article/PIIS2589-53702400098-1/fulltext,eClinicalMedicine (The Lancet),SYSTEMATIC_REVIEW
저탄고지(키토제닉) 식단,체중 감량,균형 식단과 비교 시 (근거 상충),2,PENDING,메타분석 간 상충(RCT) 및 방법론 비평,"다낭성난소증후군(PCOS) 환자 등 특정 집단 메타분석은 키토제닉 식단이 체중을 9kg 이상 크게 감소시킨다고 보고했지만, 포함된 연구 대부분이 무작위대조군 없는 전후비교 설계였다. 반면 2021년 Nutrients에 실린 체계적 문헌고찰·메타분석은 8건의 연구를 종합해 키토제닉 식단이 균형 식단 대비 체질량지수(BMI)에서 통계적으로 유의한 차이를 보이지 않았다고 결론지었다. 2024년 Foods지에 실린 방법론 비평 논문은 기존 메타분석의 상당수가 열량 섭취 통제, 케토시스 도달 여부 확인, 실제 섭취량 검증 등을 제대로 하지 않아 결과가 과대평가됐을 가능성을 지적했다.",Effect of a Ketogenic Diet on the Nutritional Parameters of Obese Patients: A Systematic Review and Meta-Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC8467306/,Nutrients (MDPI),SYSTEMATIC_REVIEW,Methodological Challenges and Confounders in Research on the Effects of Ketogenic Diets: A Literature Review of Meta-Analyses,https://pmc.ncbi.nlm.nih.gov/articles/PMC10814162/,Foods (MDPI),REVIEW
사과식초(애플사이더비니거),체중·체지방 감소,"하루 30mL, 4~12주 섭취 시",2,PENDING,메타분석(RCT) 및 데이터 신뢰성 비판 논문,"2025년 발표된 체계적 문헌고찰·메타분석(RCT 10건, 789명)은 사과식초를 하루 30mL 섭취할 경우 체중, BMI, 허리둘레가 유의하게 감소한다고 보고했다. 그러나 이 메타분석의 근거가 된 핵심 연구(2024년 BMJ Nutrition Prevention & Health 발표) 등에 대해 별도 논문은 ""improbable data characteristics and extreme effects""라는 제목으로 통계적으로 비현실적인 체중 감소폭과 데이터 패턴을 지적하며 신뢰성에 의문을 제기했다. 메타분석 자체는 긍정적 결과를 제시하지만 기반 연구의 데이터 품질 우려가 있어 종합적 결론은 아직 유보적이다.",Effect of Apple Cider Vinegar Intake on Body Composition in Humans with Type 2 Diabetes and/or Overweight: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,https://pmc.ncbi.nlm.nih.gov/articles/PMC12472926/,PMC (PubMed Central),META_ANALYSIS,Improbable data characteristics and extreme effects of apple cider vinegar on weight loss,https://pmc.ncbi.nlm.nih.gov/articles/PMC12322552/,PMC (PubMed Central),REVIEW
가르시니아 캄보지아,체중 감량(식욕 억제·지방합성 억제),,2,COUNTER_EVIDENCE,메타분석(RCT) 및 스코핑리뷰,"2011년 Journal of Obesity에 발표된 메타분석(RCT 9건 통합)은 가르시니아캄보지아(HCA)가 위약 대비 평균 0.88kg의 통계적으로 유의한 체중 감소를 보였다고 보고했지만, 엄격한 설계의 RCT만 따로 분석하면 유의성이 사라지고 임상적 의미도 의문이라고 밝혔다. 2025년 스코핑리뷰는 14건의 연구를 검토한 결과 어느 연구도 임상적으로 유의미한 체중·BMI 감소를 입증하지 못했다며, 가르시니아 제품의 체중감량 효과 주장은 확실한 근거로 뒷받침되지 않는다고 결론지었다.",Efficacy of Garcinia Cambogia (HCA) in Reducing Body Weight in Overweight and Obese Adults: A Scoping Review,https://www.auctoresonline.org/article/efficacy-of-garcinia-cambogia-hca-in-reducing-body-weight-in-overweight-and-obese-adults-a-scoping-review,Journal of Nutrition and Food Processing (Auctores),SYSTEMATIC_REVIEW,The Use of Garcinia Extract (Hydroxycitric Acid) as a Weight loss Supplement: A Systematic Review and Meta-Analysis of Randomised Clinical Trials,https://pubmed.ncbi.nlm.nih.gov/21197150/,Journal of Obesity,META_ANALYSIS
그린커피빈 추출물,체중 감량,,2,COUNTER_EVIDENCE,근거 논문 철회 및 미 FTC 제재,"그린커피빈 추출물의 체중감량 효과를 뒷받침했던 핵심 연구(2012년 Diabetes, Metabolic Syndrome and Obesity지 발표, 22주간 평균 18파운드 감량 주장)는 저자들이 스스로 데이터를 검증할 수 없다며 철회했다. 미국 연방거래위원회(FTC)는 이 연구를 후원한 Applied Food Sciences사가 연구책임자의 체중 수치 조작, 시험 기간 변경, 위약군·시험군 혼동 등 심각한 결함이 있는 연구를 근거로 광고했다며 2014년 350만 달러 배상 등에 합의했다. 유명 방송인의 홍보로 확산됐던 이 사례는 다이어트 보조제 마케팅에서 근거 조작의 대표적 사례로 꼽힌다.",Green coffee bean manufacturer settles FTC charges for pushing its product based on results it knew were seriously flawed,https://www.ftc.gov/news-events/news/press-releases/2014/09/green-coffee-bean-manufacturer-settles-ftc-charges-pushing-its-product-based-results-seriously,미국 연방거래위원회(FTC),OFFICIAL,"Dr. Oz-endorsed diet pill study was bogus, researchers admit",https://www.cbsnews.com/news/dr-oz-endorsed-green-coffee-bean-diet-study-retracted/,CBS News,REVIEW
콤부차,체중 감량 및 체지방 개선,저칼로리 식단과 병행 시 추가 효과 여부,2,NO_EVIDENCE,무작위대조시험(RCT) 및 체계적 문헌고찰,"2024년 Foods지에 발표된 10주간 무작위대조시험(과체중 성인 대상)에서 녹차 콤부차 200mL를 매일 섭취한 그룹과 대조군 모두 체중이 감소했지만, 두 그룹 간 체중·체성분 변화에는 유의한 차이가 없었다. 2021년 체계적 문헌고찰(연구 15건)은 콤부차가 산화스트레스·염증 완화와 장내미생물 조절에 도움이 될 가능성을 제시했지만, 검토된 연구 대다수가 간 손상·지방간 등 다른 지표를 다룬 동물·소규모 연구였다. 즉 콤부차 자체가 사람의 체중을 추가로 감량시킨다는 직접적 인체 근거는 아직 확인되지 않았다.","The Impact of Green Tea Kombucha on the Intestinal Health, Gut Microbiota, and Serum Metabolome of Individuals with Excess Body Weight in a Weight Loss Intervention: A Randomized Controlled Trial",https://pmc.ncbi.nlm.nih.gov/articles/PMC11594279/,Foods (MDPI),RCT,Effect of kombucha intake on the gut microbiota and obesity-related comorbidities: A systematic review,https://pubmed.ncbi.nlm.nih.gov/34698580/,Critical Reviews in Food Science and Nutrition,SYSTEMATIC_REVIEW
